modelName,modelSeed,trainingSeed,seed,learning_rate,num_trials,num_epochs,num_timeSteps,num_batches,size_layer_message,size_layer_hidden,size_layer_phonology,input,hidden_state_init,hidden_state_curr,predictions,max_length_name
190421296,9021093912,927986397102,896575376869,0.005,20000,100,1,1,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
494121373,9021093912,927986397102,896575376869,0.005,20000,100,1,3,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
749391364,9021093912,927986397102,896575376869,0.005,20000,100,1,5,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
533332154,9021093912,927986397102,896575376869,0.005,20000,100,1,10,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
880531695,9021093912,927986397102,896575376869,0.005,20000,100,2,1,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
288271949,9021093912,927986397102,896575376869,0.005,20000,100,2,3,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
383808281,9021093912,927986397102,896575376869,0.005,20000,100,2,5,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
843508036,9021093912,927986397102,896575376869,0.005,20000,100,2,10,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
768489071,9021093912,927986397102,896575376869,0.005,20000,100,3,1,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
413487041,9021093912,927986397102,896575376869,0.005,20000,100,3,3,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
253966923,9021093912,927986397102,896575376869,0.005,20000,100,3,5,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
470505021,9021093912,927986397102,896575376869,0.005,20000,100,3,10,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
741329916,9021093912,927986397102,896575376869,0.005,20000,100,4,1,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
206265802,9021093912,927986397102,896575376869,0.005,20000,100,4,3,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
441087100,9021093912,927986397102,896575376869,0.005,20000,100,4,5,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
893125339,9021093912,927986397102,896575376869,0.005,20000,100,4,10,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
403017749,9021093912,927986397102,896575376869,0.005,20000,100,5,1,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
129241798,9021093912,927986397102,896575376869,0.005,20000,100,5,3,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
488300356,9021093912,927986397102,896575376869,0.005,20000,100,5,5,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
487073325,9021093912,927986397102,896575376869,0.005,20000,100,5,10,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
270362516,9021093912,927986397102,896575376869,0.005,20000,100,6,1,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
544458875,9021093912,927986397102,896575376869,0.005,20000,100,6,3,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
945485337,9021093912,927986397102,896575376869,0.005,20000,100,6,5,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
526815268,9021093912,927986397102,896575376869,0.005,20000,100,6,10,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
490776467,9021093912,927986397102,896575376869,0.005,20000,100,7,1,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
466446726,9021093912,927986397102,896575376869,0.005,20000,100,7,3,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
699540821,9021093912,927986397102,896575376869,0.005,20000,100,7,5,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
229177022,9021093912,927986397102,896575376869,0.005,20000,100,7,10,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
808776681,9021093912,927986397102,896575376869,0.005,20000,100,8,1,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
362160535,9021093912,927986397102,896575376869,0.005,20000,100,8,3,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
768216399,9021093912,927986397102,896575376869,0.005,20000,100,8,5,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
730053126,9021093912,927986397102,896575376869,0.005,20000,100,8,10,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
119450353,9021093912,927986397102,896575376869,0.005,20000,100,9,1,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
339745907,9021093912,927986397102,896575376869,0.005,20000,100,9,3,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
459090431,9021093912,927986397102,896575376869,0.005,20000,100,9,5,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
893965477,9021093912,927986397102,896575376869,0.005,20000,100,9,10,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
161181255,9021093912,927986397102,896575376869,0.005,20000,100,10,1,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
186578798,9021093912,927986397102,896575376869,0.005,20000,100,10,3,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
515306585,9021093912,927986397102,896575376869,0.005,20000,100,10,5,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
454415805,9021093912,927986397102,896575376869,0.005,20000,100,10,10,40,50,18,Message/Message:0,RNN_Hidden/RNN_Initial:0,RNN_Hidden/rnn/while/Exit_3:0,Outputs/Predictions:0,RNN_Hidden/Placeholder:0
